text,label
"Please find attached the requested file.",0
"Per my last email, this was already resolved.",1
"FIX THIS IMMEDIATELY!",2
"I’d truly appreciate your assistance.",3
"The meeting is scheduled for 3 PM.",0
"Thanks in advance for your prompt response.",3
"Were you even paying attention?",2
"Just circling back on this.",0
"I’ll defer to your expertise on this matter.",3
"This is the third time I’ve reminded you.",1
"DO NOT IGNORE THIS EMAIL.",2
"Kindly review at your earliest convenience.",3
"Let me know if you need further details.",0
"Interesting how this keeps happening.",1
"Your lack of urgency is unacceptable.",2
"Thanks for your patience on this!",3
"Forwarding for your awareness.",0
"Glad you finally decided to respond.",1
"WHY IS THIS STILL NOT DONE?",2
"Would you mind double-checking this?",3
"Per our conversation, here’s the update.",0
"I’ll wait for your *detailed* explanation.",1
"THIS IS UNPROFESSIONAL.",2
"Your help on this would mean a lot.",3
"The deadline has been extended to Friday.",0
"Thanks for *finally* getting back to me.",1
"ARE YOU EVEN LISTENING?",2
"I’d be grateful for your feedback.",3
"Please confirm receipt of this email.",0
"Wow, thanks for the lightning-fast reply.",1
"YOU’VE MADE THIS WORSE.",2
"Whenever you have a moment would be great.",3
"Attached is the revised proposal.",0
"Just as I predicted, this failed.",1
"THIS IS YOUR LAST WARNING.",2
"Could you please clarify this point?",3
"The project is on track for delivery.",0
"Funny how my emails keep getting lost.",1
"STOP WASTING MY TIME.",2
"I appreciate your flexibility on this.",3
"Here’s the link to the shared folder.",0
"Sure, take your time... like always.",1
"YOU’RE MISSING THE POINT.",2
"Many thanks for your cooperation!",3
"The system will be down for maintenance.",0
"Nice of you to join the conversation.",1
"THIS IS INCOMPETENCE.",2
"Would it be possible to adjust the timeline?",3
"FYI, the client approved the design.",0
"Finally, some progress. Miracles happen.",1
"DO YOU UNDERSTAND THE PROBLEM?",2
"I’d love your thoughts when you’re free.",3
"Reminder: Team sync at 10 AM tomorrow.",0
"Glad we’re *finally* on the same page.",1
"YOU’RE NOT FOLLOWING INSTRUCTIONS.",2
"Thanks for bearing with me on this!",3
"The budget has been approved.",0
"Shocking how this wasn’t caught earlier.",1
"THIS IS A DISASTER.",2
"Could we discuss this further?",3
"Updates have been pushed to the repo.",0
"Thanks for the *minimal* effort.",1
"ARE YOU SERIOUS RIGHT NOW?",2
"I’m grateful for your support.",3
"Please review the attached contract.",0
"Wow, you *actually* responded.",1
"YOU’RE FAILING TO DELIVER.",2
"Your expertise would be invaluable here.",3
"The webinar starts in 15 minutes.",0
"Cool, another problem to fix myself.",1
"THIS IS BEYOND UNACCEPTABLE.",2
"I’d appreciate any guidance you can offer.",3
"New policy documents have been uploaded.",0
"Guess I’ll handle this myself, as usual.",1
"STOP MAKING EXCUSES.",2
"Thank you for your understanding!",3
"Team lunch is scheduled for next Monday.",0
"Thanks for the *blazing* fast reply.",1
"YOU’RE NOT TAKING THIS SERIOUSLY.",2
"Would you be open to a quick call?",3
"Server maintenance is complete.",0
"Surprise, another delay.",1
"THIS IS RIDICULOUS.",2
"Your prompt attention would be great.",3
"The client sent their feedback.",0
"Wow, you *almost* met the deadline.",1
